date,machine,shift,produced_units,defects,downtime_minutes,yield_rate
2025-01-01,M-101,Day,119,27,11,0.7731
2025-01-01,M-101,Night,196,16,15,0.9184
2025-01-01,M-102,Day,118,25,3,0.7881
2025-01-01,M-102,Night,120,19,17,0.8417
2025-01-01,M-103,Day,261,27,12,0.8966
2025-01-01,M-103,Night,272,18,2,0.9338
2025-01-01,M-104,Day,284,16,9,0.9437
2025-01-01,M-104,Night,181,8,16,0.9558
2025-01-01,M-105,Day,271,23,7,0.9151
2025-01-01,M-105,Night,281,19,7,0.9324
2025-01-02,M-101,Day,199,9,1,0.9548
2025-01-02,M-101,Night,222,31,1,0.8604
2025-01-02,M-102,Day,288,29,4,0.8993
2025-01-02,M-102,Night,238,7,13,0.9706
2025-01-02,M-103,Day,254,13,1,0.9488
2025-01-02,M-103,Night,313,16,16,0.9489
2025-01-02,M-104,Day,249,27,13,0.8916
2025-01-02,M-104,Night,142,14,8,0.9014
2025-01-02,M-105,Day,209,3,9,0.9856
2025-01-02,M-105,Night,133,26,12,0.8045
2025-01-03,M-101,Day,302,26,6,0.9139
2025-01-03,M-101,Night,312,15,5,0.9519
2025-01-03,M-102,Day,299,14,1,0.9532
2025-01-03,M-102,Night,203,28,3,0.8621
2025-01-03,M-103,Day,201,6,12,0.9701
2025-01-03,M-103,Night,204,12,4,0.9412
2025-01-03,M-104,Day,224,24,16,0.8929
2025-01-03,M-104,Night,196,7,14,0.9643
2025-01-03,M-105,Day,238,25,1,0.895
2025-01-03,M-105,Night,168,27,14,0.8393
2025-01-04,M-101,Day,195,28,15,0.8564
2025-01-04,M-101,Night,185,31,5,0.8324
2025-01-04,M-102,Day,152,24,11,0.8421
2025-01-04,M-102,Night,130,29,3,0.7769
2025-01-04,M-103,Day,277,2,14,0.99
2025-01-04,M-103,Night,273,27,11,0.9011
2025-01-04,M-104,Day,203,25,4,0.8768
2025-01-04,M-104,Night,271,20,8,0.9262
2025-01-04,M-105,Day,211,20,0,0.9052
2025-01-04,M-105,Night,130,10,2,0.9231
2025-01-05,M-101,Day,196,24,11,0.8776
2025-01-05,M-101,Night,203,30,10,0.8522
2025-01-05,M-102,Day,117,27,10,0.7692
2025-01-05,M-102,Night,239,20,9,0.9163
2025-01-05,M-103,Day,119,20,14,0.8319
2025-01-05,M-103,Night,166,21,0,0.8735
2025-01-05,M-104,Day,176,16,17,0.9091
2025-01-05,M-104,Night,147,11,7,0.9252
2025-01-05,M-105,Day,318,30,0,0.9057
2025-01-05,M-105,Night,151,29,1,0.8079
2025-01-06,M-101,Day,288,11,16,0.9618
2025-01-06,M-101,Night,164,16,11,0.9024
2025-01-06,M-102,Day,127,20,9,0.8425
2025-01-06,M-102,Night,272,34,11,0.875
2025-01-06,M-103,Day,190,15,7,0.9211
2025-01-06,M-103,Night,279,12,3,0.957
2025-01-06,M-104,Day,173,2,1,0.9884
2025-01-06,M-104,Night,119,27,13,0.7731
2025-01-06,M-105,Day,253,17,12,0.9328
2025-01-06,M-105,Night,135,31,9,0.7704
2025-01-07,M-101,Day,306,7,8,0.9771
2025-01-07,M-101,Night,253,18,8,0.9289
2025-01-07,M-102,Day,136,14,4,0.8971
2025-01-07,M-102,Night,166,24,11,0.8554
2025-01-07,M-103,Day,233,13,17,0.9442
2025-01-07,M-103,Night,119,13,2,0.8908
2025-01-07,M-104,Day,174,33,6,0.8103
2025-01-07,M-104,Night,299,18,12,0.9398
2025-01-07,M-105,Day,200,10,13,0.95
2025-01-07,M-105,Night,313,10,14,0.9681
2025-01-08,M-101,Day,157,25,14,0.8408
2025-01-08,M-101,Night,198,26,4,0.8687
2025-01-08,M-102,Day,117,5,8,0.9573
2025-01-08,M-102,Night,298,6,8,0.9799
2025-01-08,M-103,Day,254,8,12,0.9685
2025-01-08,M-103,Night,167,28,10,0.8323
2025-01-08,M-104,Day,220,7,8,0.9682
2025-01-08,M-104,Night,288,2,13,0.99
2025-01-08,M-105,Day,208,25,11,0.8798
2025-01-08,M-105,Night,195,12,11,0.9385
2025-01-09,M-101,Day,130,21,1,0.8385
2025-01-09,M-101,Night,242,22,1,0.9091
2025-01-09,M-102,Day,266,15,14,0.9436
2025-01-09,M-102,Night,109,7,8,0.9358
2025-01-09,M-103,Day,141,12,11,0.9149
2025-01-09,M-103,Night,131,24,1,0.8168
2025-01-09,M-104,Day,138,21,14,0.8478
2025-01-09,M-104,Night,137,11,16,0.9197
2025-01-09,M-105,Day,317,21,8,0.9338
2025-01-09,M-105,Night,176,22,10,0.875
2025-01-10,M-101,Day,164,2,2,0.9878
2025-01-10,M-101,Night,310,15,8,0.9516
2025-01-10,M-102,Day,202,27,1,0.8663
2025-01-10,M-102,Night,118,11,8,0.9068
2025-01-10,M-103,Day,247,18,7,0.9271
2025-01-10,M-103,Night,306,7,10,0.9771
2025-01-10,M-104,Day,219,17,14,0.9224
2025-01-10,M-104,Night,158,33,5,0.7911
2025-01-10,M-105,Day,219,19,15,0.9132
2025-01-10,M-105,Night,196,11,0,0.9439
2025-01-11,M-101,Day,180,29,0,0.8389
2025-01-11,M-101,Night,297,19,2,0.936
2025-01-11,M-102,Day,166,20,5,0.8795
2025-01-11,M-102,Night,123,23,12,0.813
2025-01-11,M-103,Day,126,11,4,0.9127
2025-01-11,M-103,Night,245,26,13,0.8939
2025-01-11,M-104,Day,306,27,5,0.9118
2025-01-11,M-104,Night,123,22,16,0.8211
2025-01-11,M-105,Day,314,9,4,0.9713
2025-01-11,M-105,Night,108,6,9,0.9444
2025-01-12,M-101,Day,220,14,5,0.9364
2025-01-12,M-101,Night,282,17,14,0.9397
2025-01-12,M-102,Day,311,12,3,0.9614
2025-01-12,M-102,Night,309,22,5,0.9288
2025-01-12,M-103,Day,236,18,16,0.9237
2025-01-12,M-103,Night,156,34,16,0.7821
2025-01-12,M-104,Day,139,7,9,0.9496
2025-01-12,M-104,Night,109,11,7,0.8991
2025-01-12,M-105,Day,313,34,2,0.8914
2025-01-12,M-105,Night,296,5,13,0.9831
2025-01-13,M-101,Day,286,31,4,0.8916
2025-01-13,M-101,Night,296,5,9,0.9831
2025-01-13,M-102,Day,203,12,0,0.9409
2025-01-13,M-102,Night,269,13,11,0.9517
2025-01-13,M-103,Day,190,14,15,0.9263
2025-01-13,M-103,Night,120,26,13,0.7833
2025-01-13,M-104,Day,183,10,0,0.9454
2025-01-13,M-104,Night,306,33,4,0.8922
2025-01-13,M-105,Day,107,6,1,0.9439
2025-01-13,M-105,Night,282,31,2,0.8901
2025-01-14,M-101,Day,264,7,6,0.9735
2025-01-14,M-101,Night,231,25,15,0.8918
2025-01-14,M-102,Day,109,8,5,0.9266
2025-01-14,M-102,Night,168,34,13,0.7976
2025-01-14,M-103,Day,170,34,8,0.8
2025-01-14,M-103,Night,210,16,2,0.9238
2025-01-14,M-104,Day,305,2,3,0.99
2025-01-14,M-104,Night,150,11,2,0.9267
2025-01-14,M-105,Day,103,24,17,0.767
2025-01-14,M-105,Night,126,11,9,0.9127
2025-01-15,M-101,Day,304,24,13,0.9211
2025-01-15,M-101,Night,227,15,3,0.9339
2025-01-15,M-102,Day,290,28,0,0.9034
2025-01-15,M-102,Night,257,4,13,0.9844
2025-01-15,M-103,Day,281,6,7,0.9786
2025-01-15,M-103,Night,127,20,16,0.8425
2025-01-15,M-104,Day,117,15,17,0.8718
2025-01-15,M-104,Night,166,6,8,0.9639
2025-01-15,M-105,Day,211,23,5,0.891
2025-01-15,M-105,Night,310,19,5,0.9387
2025-01-16,M-101,Day,311,32,8,0.8971
2025-01-16,M-101,Night,105,21,9,0.8
2025-01-16,M-102,Day,132,22,15,0.8333
2025-01-16,M-102,Night,123,25,2,0.7967
